#delay;msgtype;kwargs
0;CONNECTED;
0.1;EXPNAME;{"experiment":"PAL1"}
0.1;SUBJECTID;{"subject":"R1299T"}
0.010000;SESSION;{"session": 0, "version": "1.0.0", "name": "PAL1", "subject": "R1299T"}
3.377372;STATE;{"name": "MIC TEST", "value": true}
6.487000;STATE;{"name": "MIC TEST", "value": false}
0.013000;STATE;{"phase_type": "PRACTICE", "listno": 0, "name": "TRIAL", "value": true}
0.010000;TRIAL;{"trial": 0}
0.010000;STATE;{"name": "WAITING", "value": true}
1.001000;STATE;{"name": "WAITING", "value": false}
0.010000;STATE;{"name": "COUNTDOWN", "value": true}
10.431000;STATE;{"name": "COUNTDOWN", "value": false}
0.010000;STATE;{"phase_type": "PRACTICE", "name": "ENCODING", "value": true}
0.001000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.085000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.606000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word1", "value": true, "serialpos": 0, "word1": "BEAM", "word2": "RING", "phase_type": "PRACTICE"}
4.029000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word1", "value": false, "serialpos": 0, "word1": "BEAM", "word2": "RING", "phase_type": "PRACTICE"}
0.010000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.083000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.668000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word2", "value": true, "serialpos": 1, "word1": "FLOOD", "word2": "CHEST", "phase_type": "PRACTICE"}
4.032000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word2", "value": false, "serialpos": 1, "word1": "FLOOD", "word2": "CHEST", "phase_type": "PRACTICE"}
0.010000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.082000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.549000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word2", "value": true, "serialpos": 2, "word1": "COTTON", "word2": "WATCH", "phase_type": "PRACTICE"}
4.036000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word2", "value": false, "serialpos": 2, "word1": "COTTON", "word2": "WATCH", "phase_type": "PRACTICE"}
0.002000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.083000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.656000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word1", "value": true, "serialpos": 3, "word1": "ATTIC", "word2": "RHINO", "phase_type": "PRACTICE"}
4.026000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word1", "value": false, "serialpos": 3, "word1": "ATTIC", "word2": "RHINO", "phase_type": "PRACTICE"}
0.010000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.099000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.540000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word2", "value": true, "serialpos": 4, "word1": "WAGON", "word2": "IRON", "phase_type": "PRACTICE"}
4.028000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word2", "value": false, "serialpos": 4, "word1": "WAGON", "word2": "IRON", "phase_type": "PRACTICE"}
0.001000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.082000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.750000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word1", "value": true, "serialpos": 5, "word1": "TONGUE", "word2": "CAMEL", "phase_type": "PRACTICE"}
4.035000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word1", "value": false, "serialpos": 5, "word1": "TONGUE", "word2": "CAMEL", "phase_type": "PRACTICE"}
0.010000;STATE;{"phase_type": "PRACTICE", "name": "ENCODING", "value": false}
0.001000;STATE;{"phase_type": "PRACTICE", "name": "DISTRACT", "value": true}
21.201000;STATE;{"phase_type": "PRACTICE", "name": "DISTRACT", "value": false}
0.682000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.186000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.010000;STATE;{"phase_type": "PRACTICE", "name": "RETRIEVAL", "value": true}
0.526000;STATE;{"direction": 1, "name": "REC", "probe": "IRON", "value": true, "serialpos": 4, "expecting": "WAGON"}
0.010000;STATE;{"direction": 1, "name": "PROBE", "probe": "IRON", "value": true, "serialpos": 4, "expecting": "WAGON"}
